Date,Open,High,Low,Close,Volume
02-01-2019,62.5,63.810001,62.5,63.09,3045600
03-01-2019,62.360001,62.970001,61.009998,61.099998,3895700
04-01-2019,62.279999,63.799999,61.950001,63.700001,4885600
07-01-2019,63.349998,63.970001,62.799999,63.599998,3940400
08-01-2019,64.269997,64.43,63.439999,64.32,3427500
09-01-2019,64.620003,64.800003,63.98,64.260002,2783000
10-01-2019,63.639999,64.849998,63.5,64.809998,3314000
11-01-2019,64.779999,65.190002,64.580002,64.919998,3320600
14-01-2019,64.459999,65.019997,64.339996,64.629997,4407500
15-01-2019,64.839996,66.25,64.650002,65.989998,3550900
16-01-2019,65.900002,66.080002,65.449997,65.790001,3496900
17-01-2019,65.489998,66.739998,65.199997,66.550003,2367800
18-01-2019,67.550003,68.029999,66.970001,67.82,3904900
22-01-2019,67.300003,67.690002,66.269997,66.800003,3698000
23-01-2019,66.959999,67.449997,66.209999,67.059998,3350200
24-01-2019,67.120003,68.150002,66.919998,68.120003,3336000
25-01-2019,70.25,70.32,69.25,70.019997,4073900
28-01-2019,69.269997,69.379997,68.339996,68.949997,2771000
29-01-2019,69,69.230003,68.379997,68.660004,2902300
30-01-2019,68.730003,70.099998,68.540001,69.800003,3646100
31-01-2019,69.860001,70.309998,69.410004,69.68,3504100
01-02-2019,69.949997,70.940002,69.779999,70.139999,3218600
04-02-2019,70.07,71.510002,69.940002,71.290001,3382100
05-02-2019,71.349998,71.870003,71.110001,71.209999,3978100
06-02-2019,70.019997,74.690002,70,74.5,7242000
07-02-2019,74.18,74.449997,71.419998,72.989998,5880600
08-02-2019,72.459999,73.540001,72.18,73.160004,4613200
11-02-2019,73.349998,73.870003,72.879997,72.970001,3986100
12-02-2019,73.419998,73.620003,72.879997,73.449997,3404000
13-02-2019,74.160004,74.349998,73.18,73.580002,2998300
14-02-2019,73.059998,73.639999,72.919998,73.120003,1496200
15-02-2019,73.709999,74.050003,73.080002,73.559998,2875200
19-02-2019,73.209999,73.57,72.639999,73.18,3955700
20-02-2019,73.269997,73.410004,71.860001,72.25,3171400
21-02-2019,72.099998,72.419998,71.120003,71.339996,4739000
22-02-2019,71.690002,72.419998,71.489998,72.379997,5585400
25-02-2019,72.93,73,72.139999,72.25,4105300
26-02-2019,72.43,72.540001,71.760002,72.040001,3629200
27-02-2019,71.720001,71.720001,70.959999,71.309998,5050400
28-02-2019,71.25,71.760002,70.879997,70.980003,3699300
01-03-2019,70.910004,72.220001,70.800003,72.129997,2947800
04-03-2019,72.559998,72.879997,71.010002,71.760002,3278400
05-03-2019,71.690002,71.989998,71.339996,71.389999,2112900
06-03-2019,71.419998,72.029999,71.190002,71.459999,2691000
07-03-2019,72.32,72.720001,71.660004,72.330002,5296300
08-03-2019,71.610001,72,70.57,71.150002,3912500
11-03-2019,71.370003,72.389999,71.300003,72.349998,3159200
12-03-2019,72.300003,72.610001,71.68,71.779999,3622700
13-03-2019,71.93,72.330002,71.150002,71.209999,3926900
14-03-2019,71.220001,71.470001,70.849998,70.93,2577500
15-03-2019,71.059998,72.360001,70.940002,72.129997,4808900
18-03-2019,72.099998,72.32,71.220001,71.879997,2376900
19-03-2019,72.309998,72.440002,71.800003,72.019997,2537300
20-03-2019,72.169998,72.43,71.32,71.709999,2161300
21-03-2019,71.489998,72.639999,71.410004,72.199997,4141700
22-03-2019,71.959999,72.059998,70.639999,70.889999,2711800
25-03-2019,70.739998,70.889999,70.010002,70.75,1983700
26-03-2019,71.230003,71.730003,70.669998,71.089996,2295500
27-03-2019,71.129997,71.470001,70.32,71.029999,2040300
28-03-2019,71.889999,71.889999,71.040001,71.580002,2495800
29-03-2019,72.019997,72.849998,71.970001,72.449997,4475300
01-04-2019,73,73.980003,72.650002,73.849998,3561900
